Issue Type,Issue key,Issue id,Summary,Reporter,Reporter Id,Status,Custom field (Start date),Custom field (End date),Due date,Custom field (Story Points),Assignee,Assignee Id,Sprint,Sprint,Custom field (Story point estimate),Custom field (Work category),Status Category Changed,Σ Remaining Estimate,Σ Original Estimate,Σ Time Spent,Labels,Custom field (End Date),Custom field (Orden  de Compra 1),Custom field (Moneda de pago 1),Custom field (Proveedor 1),Custom field (Orden de Compra 2),Custom field (Moneda de pago 2),Custom field (Proveedor 2),Custom field (Orden de Compra 3),Custom field (Moneda de pago 3),Custom field (Proveedor 3),Custom field (Orden de Compra 4),Custom field (Moneda de pago 4),Custom field (Proveedor 4),Custom field (Orden de Compra 5),Custom field (Proveedor 5),Custom field (Moneda de pago 5),Custom field (Orden de Compra 6),Custom field (Moneda de pago 6),Custom field (CAR Padre 6),Custom field (Proveedor 6),Custom field (CAR Padre 2),Custom field (CAR Padre 3),Custom field (CAR Padre 4),Custom field (CAR Padre 5),Custom field (Código OPEX 1),Custom field (Código OPEX 2),Custom field (Código OPEX 3),Custom field (Código OPEX 4),Custom field (Código OPEX 5),Custom field (Código OPEX 6),Custom field (CAR Padre 1)
Release,SM-4557,226100,Ajustes en recursos de Internet planes V8,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,19/Dec/25 12:00 AM,,07/Jan/26 6:18 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202601-SM,,,,07/Jan/26 1:18 PM,,,,,07/Jan/26 1:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4346,206441,Ampliación de medios de pago en caja 2.0,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,31/Oct/25 12:00 AM,,12/Nov/25 12:30 AM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202521-SM,,,,11/Nov/25 7:30 PM,,,,,11/Nov/25 7:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4299,202045,Descuentos genéricos mobile retención,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,27/Oct/25 12:00 AM,,10/Nov/25 2:00 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202520-SM,Sprint 202521-SM,,,10/Nov/25 9:00 AM,,,,,10/Nov/25 9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4172,190844,Control de base - Siebel,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,01/Oct/25 12:00 AM,,28/Nov/25 2:54 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202523-SM,,,,28/Nov/25 9:54 AM,,,,,28/Nov/25 9:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4171,190841,Control de base - Bulk,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,14/Oct/25 12:00 AM,,24/Nov/25 12:02 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202522-SM,,,,24/Nov/25 7:02 AM,,,,,24/Nov/25 7:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4169,190835,Eliminación de GB migra pos2pre involuntaria,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,01/Oct/25 12:00 AM,,15/Dec/25 7:17 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202524-SM,,,,15/Dec/25 2:17 PM,,,,,15/Dec/25 2:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4167,190828,Descuentos genéricos mobile - segunda tanda,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,15/Sep/25 12:00 AM,,24/Oct/25 1:58 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202520-SM,,,,24/Oct/25 9:58 AM,,,,gate_extraodinario,15/Oct/25 9:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-4093,180930,Ajustes en Rule breaker para inclusión de reintentos,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,30/Sep/25 12:00 AM,,13/Oct/25 5:30 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202519-SM,,,,13/Oct/25 1:30 PM,,,,,13/Oct/25 1:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SM-3996,170007,Ampliación de medios de pago en caja,Vanessa Viola,627d2d6098eae500689f4beb,Finalizada,06/Aug/25 12:00 AM,,03/Nov/25 6:58 PM,,Vanessa Viola,627d2d6098eae500689f4beb,Sprint 202520-SM,,,,03/Nov/25 1:58 PM,,,,,03/Nov/25 1:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
